"","acronyms","abbreviations"
"1","AMA — Ask Me Anything","— A —"
"2","ASL — Age / Sex / Location","AFAIK  –  As far as I know"
"3","AFAIK — As Far As I Know","AIDA  –  Attention, Interest, Desire, Action"
"4","AFK — Away From Keyboard","AMA  –  Ask Me Anything"
"5","AWOL — Away Without Leave","API  –  Application Programming Interface"
"6","ASAP — As Soon As Possible","ASL  –  Age/Sex/Location"
"7","AYKMWTS — Are You Kidding Me With This Sh—?","— B —"
"8","AYT — Are You There?","b/c, bc  –  Because"
"9","BB — Bye Bye / Baby","B2B  –  Business-to-business"
"10","B2W — Back To Work","B2C  –  Business-to-consumer"
"11","B4 — Before","B4  –  Before"
"12","BAE — Before Anyone Else","BAE  –  Before Anyone Else"
"13","BD — Big Deal","BFF  –  Best Friends Forever"
"14","BRB — Be Right Back","BRB  –  Be right back"
"15","BAMF — Bad Ass Mutha F—er","BTAIM  –  Be that as it may"
"16","BF — Boyfriend","BTW  –  By the way"
"17","BFF — Best Friend Forever","— C —"
"18","BFN — Bye For Now","CAN-SPAM  –  Controlling the Assault of Non-Solicited Pornography and Marketing Act"
"19","BTS — Behind The Scenes","CC  –  Carbon copy"
"20","BTW — By The Way","CMGR  –  Community manager"
"21","BTAIM — Be That As It May","CMS  –  Content Management System"
"22","BBS — Be Back Soon","CPC  –  Cost per click"
"23","CX — Correction","CPM  –  Cost per thousand"
"24","CU — See You","CR  –  Conversion rate"
"25","CYL — See You Later / Catch You Later","CRM  –  Customer Relationship Management"
"26","CMB — Call Me Back","CSS  –  Cascading stylesheet"
"27","CUL8R — Call You Later","CTA  –  Call-to-action"
"28","DAE — Does Anyone Else","CTR  –  Clickthrough rate"
"29","DYK — Did You Know","CX  –  Customer experience"
"30","DGYF — Dang Girl You Fine","— D —"
"31","DM — Direct Message","DAE  –  Does anyone else … ?"
"32","DFTBA — Don’t Forget To Be Awesome","DFTBA  –  Don’t forget to be awesome"
"33","ELI5 — Explain Like I’m Five","DM  –  Direct Message"
"34","FYI — For Your Information","— E —"
"35","FTW — For The Win","ELI5  –  Explain like I’m 5 (years old)"
"36","FTFY — Fixed That For You","ESP  –  Email service provider"
"37","FOMO — Fear Of Missing Out","— F —"
"38","FF — Follow Friday","F2F  –  Face to face"
"39","FBO — Facebook Official","FaTH  –  First and Truest Husband"
